"","fips","county_name","state_abbr","state_name"
"428",13079,"Crawford","GA","Georgia"
"429",13081,"Crisp","GA","Georgia"
"430",13083,"Dade","GA","Georgia"
"431",13085,"Dawson","GA","Georgia"
"432",13087,"Decatur","GA","Georgia"
"433",13089,"DeKalb","GA","Georgia"
"434",13091,"Dodge","GA","Georgia"
"435",13093,"Dooly","GA","Georgia"
"436",13095,"Dougherty","GA","Georgia"
"437",13097,"Douglas","GA","Georgia"
"438",13099,"Early","GA","Georgia"
"439",13101,"Echols","GA","Georgia"
"440",13103,"Effingham","GA","Georgia"
"441",13105,"Elbert","GA","Georgia"
"442",13107,"Emanuel","GA","Georgia"
"443",13109,"Evans","GA","Georgia"
"444",13111,"Fannin","GA","Georgia"
"445",13113,"Fayette","GA","Georgia"
"446",13115,"Floyd","GA","Georgia"
"447",13117,"Forsyth","GA","Georgia"
"448",13119,"Franklin","GA","Georgia"
"449",13121,"Fulton","GA","Georgia"
"450",13123,"Gilmer","GA","Georgia"
"451",13125,"Glascock","GA","Georgia"
"452",13127,"Glynn","GA","Georgia"
"453",13129,"Gordon","GA","Georgia"
"454",13131,"Grady","GA","Georgia"
"455",13133,"Greene","GA","Georgia"
"456",13135,"Gwinnett","GA","Georgia"
"457",13137,"Habersham","GA","Georgia"
"458",13139,"Hall","GA","Georgia"
"459",13141,"Hancock","GA","Georgia"
"460",13143,"Haralson","GA","Georgia"
"461",13145,"Harris","GA","Georgia"
"462",13147,"Hart","GA","Georgia"
"463",13149,"Heard","GA","Georgia"
"464",13151,"Henry","GA","Georgia"
"465",13153,"Houston","GA","Georgia"
"466",13155,"Irwin","GA","Georgia"
"467",13157,"Jackson","GA","Georgia"
"468",13159,"Jasper","GA","Georgia"
"469",13161,"Jeff Davis","GA","Georgia"
"470",13163,"Jefferson","GA","Georgia"
"471",13165,"Jenkins","GA","Georgia"
"472",13167,"Johnson","GA","Georgia"
"473",13169,"Jones","GA","Georgia"
"474",13171,"Lamar","GA","Georgia"
"475",13173,"Lanier","GA","Georgia"
"476",13175,"Laurens","GA","Georgia"
"477",13177,"Lee","GA","Georgia"
"478",13179,"Liberty","GA","Georgia"
"479",13181,"Lincoln","GA","Georgia"
"480",13183,"Long","GA","Georgia"
"481",13185,"Lowndes","GA","Georgia"
"482",13187,"Lumpkin","GA","Georgia"
"483",13189,"McDuffie","GA","Georgia"
"484",13191,"McIntosh","GA","Georgia"
"485",13193,"Macon","GA","Georgia"
"486",13195,"Madison","GA","Georgia"
"487",13197,"Marion","GA","Georgia"
"488",13199,"Meriwether","GA","Georgia"
"489",13201,"Miller","GA","Georgia"
"490",13205,"Mitchell","GA","Georgia"
"491",13207,"Monroe","GA","Georgia"
"492",13209,"Montgomery","GA","Georgia"
"493",13211,"Morgan","GA","Georgia"
"494",13213,"Murray","GA","Georgia"
"495",13215,"Muscogee","GA","Georgia"
"496",13217,"Newton","GA","Georgia"
"497",13219,"Oconee","GA","Georgia"
"498",13221,"Oglethorpe","GA","Georgia"
"499",13223,"Paulding","GA","Georgia"
"500",13225,"Peach","GA","Georgia"
"501",13227,"Pickens","GA","Georgia"
"502",13229,"Pierce","GA","Georgia"
"503",13231,"Pike","GA","Georgia"
"504",13233,"Polk","GA","Georgia"
"505",13235,"Pulaski","GA","Georgia"
"506",13237,"Putnam","GA","Georgia"
"507",13239,"Quitman","GA","Georgia"
"508",13241,"Rabun","GA","Georgia"
"509",13243,"Randolph","GA","Georgia"
"510",13245,"Richmond","GA","Georgia"
"511",13247,"Rockdale","GA","Georgia"
"512",13249,"Schley","GA","Georgia"
"513",13251,"Screven","GA","Georgia"
"514",13253,"Seminole","GA","Georgia"
"515",13255,"Spalding","GA","Georgia"
"516",13257,"Stephens","GA","Georgia"
"517",13259,"Stewart","GA","Georgia"
"518",13261,"Sumter","GA","Georgia"
"519",13263,"Talbot","GA","Georgia"
"520",13265,"Taliaferro","GA","Georgia"
"521",13267,"Tattnall","GA","Georgia"
"522",13269,"Taylor","GA","Georgia"
"523",13271,"Telfair","GA","Georgia"
"524",13273,"Terrell","GA","Georgia"
"525",13275,"Thomas","GA","Georgia"
"526",13277,"Tift","GA","Georgia"
"527",13279,"Toombs","GA","Georgia"
"528",13281,"Towns","GA","Georgia"
"529",13283,"Treutlen","GA","Georgia"
"530",13285,"Troup","GA","Georgia"
"531",13287,"Turner","GA","Georgia"
"532",13289,"Twiggs","GA","Georgia"
"533",13291,"Union","GA","Georgia"
"534",13293,"Upson","GA","Georgia"
"535",13295,"Walker","GA","Georgia"
"536",13297,"Walton","GA","Georgia"
"537",13299,"Ware","GA","Georgia"
"538",13301,"Warren","GA","Georgia"
"539",13303,"Washington","GA","Georgia"
"540",13305,"Wayne","GA","Georgia"
"541",13307,"Webster","GA","Georgia"
"542",13309,"Wheeler","GA","Georgia"
"543",13311,"White","GA","Georgia"
"544",13313,"Whitfield","GA","Georgia"
"545",13315,"Wilcox","GA","Georgia"
"546",13317,"Wilkes","GA","Georgia"
"547",13319,"Wilkinson","GA","Georgia"
"548",13321,"Worth","GA","Georgia"
"549",15001,"Hawaii","HI","Hawaii"
"550",15003,"Honolulu","HI","Hawaii"
"551",15005,"Kalawao","HI","Hawaii"
"552",15007,"Kauai","HI","Hawaii"
"553",15009,"Maui","HI","Hawaii"
"554",16001,"Ada","ID","Idaho"
"555",16003,"Adams","ID","Idaho"
"556",16005,"Bannock","ID","Idaho"
"557",16007,"Bear Lake","ID","Idaho"
"558",16009,"Benewah","ID","Idaho"
"559",16011,"Bingham","ID","Idaho"
"560",16013,"Blaine","ID","Idaho"
"561",16015,"Boise","ID","Idaho"
"562",16017,"Bonner","ID","Idaho"
"563",16019,"Bonneville","ID","Idaho"
"564",16021,"Boundary","ID","Idaho"
"565",16023,"Butte","ID","Idaho"
"566",16025,"Camas","ID","Idaho"
"567",16027,"Canyon","ID","Idaho"
"568",16029,"Caribou","ID","Idaho"
"569",16031,"Cassia","ID","Idaho"
"570",16033,"Clark","ID","Idaho"
"571",16035,"Clearwater","ID","Idaho"
"572",16037,"Custer","ID","Idaho"
"573",16039,"Elmore","ID","Idaho"
"574",16041,"Franklin","ID","Idaho"
"575",16043,"Fremont","ID","Idaho"
"576",16045,"Gem","ID","Idaho"
"577",16047,"Gooding","ID","Idaho"
"578",16049,"Idaho","ID","Idaho"
"579",16051,"Jefferson","ID","Idaho"
"580",16053,"Jerome","ID","Idaho"
"581",16055,"Kootenai","ID","Idaho"
"582",16057,"Latah","ID","Idaho"
"583",16059,"Lemhi","ID","Idaho"
"584",16061,"Lewis","ID","Idaho"
"585",16063,"Lincoln","ID","Idaho"
"586",16065,"Madison","ID","Idaho"
"587",16067,"Minidoka","ID","Idaho"
"588",16069,"Nez Perce","ID","Idaho"
"589",16071,"Oneida","ID","Idaho"
"590",16073,"Owyhee","ID","Idaho"
"591",16075,"Payette","ID","Idaho"
"592",16077,"Power","ID","Idaho"
"593",16079,"Shoshone","ID","Idaho"
"594",16081,"Teton","ID","Idaho"
"595",16083,"Twin Falls","ID","Idaho"
"596",16085,"Valley","ID","Idaho"
"597",16087,"Washington","ID","Idaho"
"598",17001,"Adams","IL","Illinois"
"599",17003,"Alexander","IL","Illinois"
"600",17005,"Bond","IL","Illinois"
"601",17007,"Boone","IL","Illinois"
"602",17009,"Brown","IL","Illinois"
"603",17011,"Bureau","IL","Illinois"
"604",17013,"Calhoun","IL","Illinois"
"605",17015,"Carroll","IL","Illinois"
"606",17017,"Cass","IL","Illinois"
"607",17019,"Champaign","IL","Illinois"
"608",17021,"Christian","IL","Illinois"
"609",17023,"Clark","IL","Illinois"
"610",17025,"Clay","IL","Illinois"
"611",17027,"Clinton","IL","Illinois"
"612",17029,"Coles","IL","Illinois"
"613",17031,"Cook","IL","Illinois"
"614",17033,"Crawford","IL","Illinois"
"615",17035,"Cumberland","IL","Illinois"
"616",17037,"DeKalb","IL","Illinois"
"617",17039,"De Witt","IL","Illinois"
"618",17041,"Douglas","IL","Illinois"
"619",17043,"DuPage","IL","Illinois"
"620",17045,"Edgar","IL","Illinois"
"621",17047,"Edwards","IL","Illinois"
"622",17049,"Effingham","IL","Illinois"
"623",17051,"Fayette","IL","Illinois"
"624",17053,"Ford","IL","Illinois"
"625",17055,"Franklin","IL","Illinois"
"626",17057,"Fulton","IL","Illinois"
"627",17059,"Gallatin","IL","Illinois"
"628",17061,"Greene","IL","Illinois"
"629",17063,"Grundy","IL","Illinois"
"630",17065,"Hamilton","IL","Illinois"
"631",17067,"Hancock","IL","Illinois"
"632",17069,"Hardin","IL","Illinois"
"633",17071,"Henderson","IL","Illinois"
"634",17073,"Henry","IL","Illinois"
"635",17075,"Iroquois","IL","Illinois"
"636",17077,"Jackson","IL","Illinois"
"637",17079,"Jasper","IL","Illinois"
"638",17081,"Jefferson","IL","Illinois"
"639",17083,"Jersey","IL","Illinois"
"640",17085,"Jo Daviess","IL","Illinois"
"641",17087,"Johnson","IL","Illinois"
"642",17089,"Kane","IL","Illinois"
"643",17091,"Kankakee","IL","Illinois"
"644",17093,"Kendall","IL","Illinois"
"645",17095,"Knox","IL","Illinois"
"646",17097,"Lake","IL","Illinois"
"647",17099,"LaSalle","IL","Illinois"
"648",17101,"Lawrence","IL","Illinois"
"649",17103,"Lee","IL","Illinois"
"650",17105,"Livingston","IL","Illinois"
"651",17107,"Logan","IL","Illinois"
"652",17109,"McDonough","IL","Illinois"
"653",17111,"McHenry","IL","Illinois"
"654",17113,"McLean","IL","Illinois"
"655",17115,"Macon","IL","Illinois"
"656",17117,"Macoupin","IL","Illinois"
"657",17119,"Madison","IL","Illinois"
